        PROGRAM D2500     ZERO LIFT WAVE DRAG
   CONFIGURATION DESCRIPTION

 SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  

 Entering subroutine OVL10 (START)
  SIMPLE TEST CASE TO ILLUSTRATE BODY RE-SHAPING                                  


CYCLE=  1    FUSELAGE SEGMENT  1    AREA DISTRIBUTION (D/Q = 57.62218)

        N        X          Z          R          S
        0     0.0000     0.0000     0.0000     0.0000
        1     0.5000     0.0000     0.3639     0.4159
        2     1.0000     0.0000     0.6128     1.1798
        3     1.5000     0.0000     0.8319     2.1740
        4     2.0000     0.0000     1.0338     3.3575
        5     2.5000     0.0000     1.2241     4.7076
        6     3.0000     0.0000     1.4059     6.2094
        7     3.5000     0.0000     1.5810     7.8525
        8     4.0000     0.0000     1.7508     9.6296
        9     4.5000     0.0000     1.9162    11.5351
       10     5.0000     0.0000     2.0780    13.5652
       11     5.5000     0.0000     2.2367    15.7172
       12     6.0000     0.0000     2.3930    17.9895
       13     6.5000     0.0000     2.5471    20.3813
       14     7.0000     0.0000     2.6995    22.8931
       15     7.5000     0.0000     2.8505    25.5264
       16     8.0000     0.0000     3.0005    28.2837
       17     8.5000     0.0000     3.1499    31.1697
       18     9.0000     0.0000     3.2990    34.1912
       19     9.5000     0.0000     3.4485    37.3598
       20    10.0000     0.0000     3.5993    40.7000
       21    10.5000     0.0000     3.7533    44.2575
       22    11.0000     0.0000     3.9081    47.9811
       23    11.5000     0.0000     4.0622    51.8406
       24    12.0000     0.0000     4.2152    55.8187
       25    12.5000     0.0000     4.3666    59.9026
       26    13.0000     0.0000     4.5164    64.0820
       27    13.5000     0.0000     4.6643    68.3480
       28    14.0000     0.0000     4.8103    72.6926
       29    14.5000     0.0000     4.9542    77.1086
       30    15.0000     0.0000     5.0962    81.5895
       31    15.5000     0.0000     5.2360    86.1292
       32    16.0000     0.0000     5.3738    90.7215
       33    16.5000     0.0000     5.5095    95.3611
       34    17.0000     0.0000     5.6431   100.0424
