  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.2989   0.00000  -0.00131  -0.0919   0.0000   0.0000
 -14.750  -1.2691   0.00000  -0.00130  -0.0921   0.0000   0.0000
 -14.500  -1.2393   0.00000  -0.00129  -0.0923   0.0000   0.0000
 -14.250  -1.2095   0.00000  -0.00128  -0.0926   0.0000   0.0000
 -14.000  -1.1797   0.00000  -0.00128  -0.0928   0.0000   0.0000
 -13.750  -1.1498   0.00000  -0.00127  -0.0931   0.0000   0.0000
 -13.500  -1.1199   0.00000  -0.00126  -0.0933   0.0000   0.0000
 -13.250  -1.0900   0.00000  -0.00126  -0.0936   0.0000   0.0000
 -13.000  -1.0601   0.00000  -0.00125  -0.0938   0.0000   0.0000
 -12.750  -1.0302   0.00000  -0.00124  -0.0941   0.0000   0.0000
 -12.500  -1.0002   0.00000  -0.00123  -0.0944   0.0000   0.0000
 -12.250  -0.9702   0.00000  -0.00123  -0.0946   0.0000   0.0000
 -12.000  -0.9402   0.00000  -0.00122  -0.0949   0.0000   0.0000
 -11.750  -0.9102   0.00000  -0.00122  -0.0952   0.0000   0.0000
 -11.500  -0.8802   0.00000  -0.00121  -0.0955   0.0000   0.0000
 -11.250  -0.8501   0.00000  -0.00120  -0.0957   0.0000   0.0000
 -11.000  -0.8201   0.00000  -0.00120  -0.0960   0.0000   0.0000
 -10.750  -0.7900   0.00000  -0.00119  -0.0963   0.0000   0.0000
 -10.500  -0.7599   0.00000  -0.00119  -0.0966   0.0000   0.0000
 -10.250  -0.7298   0.00000  -0.00118  -0.0969   0.0000   0.0000
 -10.000  -0.6997   0.00000  -0.00118  -0.0972   0.0000   0.0000
  -9.750  -0.6695   0.00000  -0.00117  -0.0975   0.0000   0.0000
  -9.500  -0.6394   0.00000  -0.00117  -0.0978   0.0000   0.0000
  -9.250  -0.6092   0.00000  -0.00116  -0.0981   0.0000   0.0000
  -9.000  -0.5790   0.00000  -0.00116  -0.0984   0.0000   0.0000
  -8.750  -0.5489   0.00000  -0.00115  -0.0987   0.0000   0.0000
  -8.500  -0.5187   0.00000  -0.00115  -0.0990   0.0000   0.0000
  -8.250  -0.4885   0.00000  -0.00114  -0.0994   0.0000   0.0000
  -8.000  -0.4582   0.00000  -0.00114  -0.0997   0.0000   0.0000
  -7.750  -0.4280   0.00000  -0.00113  -0.1000   0.0000   0.0000
  -7.500  -0.3978   0.00000  -0.00113  -0.1003   0.0000   0.0000
  -7.250  -0.3676   0.00000  -0.00113  -0.1007   0.0000   0.0000
  -7.000  -0.3373   0.00000  -0.00112  -0.1010   0.0000   0.0000
  -6.750  -0.3071   0.00000  -0.00112  -0.1013   0.0000   0.0000
  -6.500  -0.2768   0.00000  -0.00111  -0.1017   0.0000   0.0000
  -6.250  -0.2465   0.00000  -0.00111  -0.1020   0.0000   0.0000
  -6.000  -0.2163   0.00000  -0.00111  -0.1023   0.0000   0.0000
  -5.750  -0.1860   0.00000  -0.00110  -0.1027   0.0000   0.0000
  -5.500  -0.1557   0.00000  -0.00110  -0.1030   0.0000   0.0000
  -5.250  -0.1255   0.00000  -0.00110  -0.1034   0.0000   0.0000
  -5.000  -0.0952   0.00000  -0.00110  -0.1037   0.0000   0.0000
  -4.750  -0.0649   0.00000  -0.00109  -0.1041   0.0000   0.0000
  -4.500  -0.0346   0.00000  -0.00109  -0.1045   0.0000   0.0000
  -4.250  -0.0043   0.00000  -0.00109  -0.1048   0.0000   0.0000
  -4.000   0.0259   0.00000  -0.00109  -0.1052   0.0000   0.0000
  -3.750   0.0562   0.00000  -0.00109  -0.1055   0.0000   0.0000
  -3.500   0.0865   0.00000  -0.00108  -0.1059   0.0000   0.0000
  -3.250   0.1168   0.00000  -0.00108  -0.1063   0.0000   0.0000
  -3.000   0.1471   0.00000  -0.00108  -0.1067   0.0000   0.0000
  -2.750   0.1773   0.00000  -0.00108  -0.1070   0.0000   0.0000
  -2.500   0.2076   0.00000  -0.00108  -0.1074   0.0000   0.0000
  -2.250   0.2379   0.00000  -0.00108  -0.1078   0.0000   0.0000
  -2.000   0.2681   0.00000  -0.00108  -0.1082   0.0000   0.0000
  -1.750   0.2984   0.00000  -0.00108  -0.1085   0.0000   0.0000
  -1.500   0.3286   0.00000  -0.00108  -0.1089   0.0000   0.0000
  -1.250   0.3589   0.00000  -0.00108  -0.1093   0.0000   0.0000
  -1.000   0.3891   0.00000  -0.00108  -0.1097   0.0000   0.0000
  -0.750   0.4193   0.00000  -0.00108  -0.1101   0.0000   0.0000
  -0.500   0.4496   0.00000  -0.00108  -0.1105   0.0000   0.0000
  -0.250   0.4798   0.00000  -0.00108  -0.1109   0.0000   0.0000
  -0.000   0.5100   0.00000  -0.00108  -0.1113   0.0000   0.0000
   0.250   0.5402   0.00000  -0.00108  -0.1117   0.0000   0.0000
   0.500   0.5704   0.00000  -0.00108  -0.1121   0.0000   0.0000
   0.750   0.6005   0.00000  -0.00108  -0.1125   0.0000   0.0000
   1.000   0.6307   0.00000  -0.00108  -0.1129   0.0000   0.0000
   1.250   0.6609   0.00000  -0.00109  -0.1133   0.0000   0.0000
   1.500   0.6910   0.00000  -0.00109  -0.1137   0.0000   0.0000
   1.750   0.7211   0.00000  -0.00109  -0.1141   0.0000   0.0000
   2.000   0.7512   0.00000  -0.00109  -0.1145   0.0000   0.0000
   2.250   0.7813   0.00000  -0.00109  -0.1150   0.0000   0.0000
