  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =   500.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.971  -0.1112   0.00460   0.00110  -0.1573   0.1609   0.0113
  -7.941   0.0036   0.00450   0.00099  -0.1572   0.1408   0.0139
  -6.912   0.1184   0.00444   0.00091  -0.1571   0.1214   0.0169
  -5.882   0.2327   0.00442   0.00087  -0.1567   0.1060   0.0221
  -4.853   0.3463   0.00444   0.00086  -0.1562   0.0877   0.0288
  -3.824   0.4597   0.00449   0.00089  -0.1555   0.0708   0.0356
  -2.794   0.5717   0.00458   0.00096  -0.1545   0.0534   0.0501
  -1.765   0.6830   0.00470   0.00105  -0.1533   0.0415   0.0631
  -0.735   0.7935   0.00486   0.00119  -0.1519   0.0314   0.0778
   0.294   0.9024   0.00505   0.00135  -0.1502   0.0222   0.0970
   1.323   1.0100   0.00528   0.00156  -0.1482   0.0170   0.1123
   2.353   1.1160   0.00554   0.00179  -0.1458   0.0132   0.1374
   3.382   1.2198   0.00585   0.00206  -0.1431   0.0095   0.1512
   5.441   1.4010   0.00652   0.00271  -0.1319   0.0063   0.1909
   6.470   1.4923   0.00696   0.00312  -0.1266   0.0055   0.2076
   7.500   1.5809   0.00748   0.00363  -0.1210   0.0042   0.2337
   8.529   1.6707   0.00805   0.00419  -0.1159   0.0035   0.2581
   9.559   1.7541   0.00870   0.00482  -0.1096   0.0029   0.2720
  10.588   1.8351   0.00941   0.00553  -0.1032   0.0028   0.2918
  12.647   1.9877   0.01126   0.00737  -0.0895   0.0024   0.3396
  13.676   2.0572   0.01245   0.00857  -0.0820   0.0020   0.3589
  14.706   2.1201   0.01387   0.01000  -0.0738   0.0017   0.3825
  15.735   2.1766   0.01559   0.01174  -0.0651   0.0017   0.4052
  17.794   2.2802   0.01999   0.01620  -0.0483   0.0017   0.4461
  18.823   2.3180   0.02325   0.01951  -0.0392   0.0014   0.4683
  19.853   2.3454   0.02738   0.02370  -0.0300   0.0013   0.4954
  20.882   2.3700   0.03223   0.02862  -0.0219   0.0011   0.5153
  21.911   2.3874   0.03822   0.03467  -0.0150   0.0011   0.5303
  23.970   2.3743   0.05797   0.05465  -0.0079   0.0009   0.5579
  25.000   2.3374   0.07329   0.07012  -0.0100   0.0009   0.5680
